title,link,summary,published,source_category,rss_category,rss_tags,source
NASA Reveals Semifinalists of Power to Explore Challenge,https://science.nasa.gov/technology/rps/nasa-reveals-semifinalists-of-power-to-explore-challenge/,"NASA has selected the 45 semifinalists of the Power to Explore Challenge, a national competition for K-12 students featuring the enabling power of radioisotopes.","Fri, 21 Mar 2025 17:50:02 +0000",Science,Glenn Research Center,"['Glenn Research Center', 'Opportunities to Contribute to NASA Missions & Get Involved', 'Radioisotope Power Systems (RPS)', 'Technology', 'Technology for Space Travel']",https://www.nasa.gov/rss/dyn/breaking_news.rss
Making Ripples,https://www.nasa.gov/image-article/making-ripples/,"A dolphin swims through the water in the Launch Complex 39 Area turn basin at NASA's Kennedy Space Center in Florida on Nov. 6, 2007. The turn basin was carved out of the Banana River when NASA Kennedy was built. Dolphins are a frequent sight in the rivers around Kennedy, which shares a boundary with [...]","Fri, 21 Mar 2025 17:25:51 +0000",Science,Kennedy Space Center,['Kennedy Space Center'],https://www.nasa.gov/rss/dyn/breaking_news.rss
NASA Astronauts to Answer Questions from Students in New York,https://www.nasa.gov/news-release/nasa-astronauts-to-answer-questions-from-students-in-new-york/,"Students from Richmond Hill, New York,will have the chance to connect with NASA astronauts Anne McClain and Nichole Ayers as they answer prerecorded science, technology, engineering, and mathematics-related questions from aboard the International Space Station. Watch the 20-minute space-to-Earth call at 12 p.m. EDT on Wednesday, March 26, on NASA+ and learn how to watch [...]","Fri, 21 Mar 2025 17:22:28 +0000",Science,Learning Resources,"['Learning Resources', 'In-flight Education Downlinks', 'Outside the Classroom']",https://www.nasa.gov/rss/dyn/breaking_news.rss
NASA's Artemis II Orion Service Module Buttoned Up for Launch,https://www.nasa.gov/image-article/nasas-artemis-ii-orion-service-module-buttoned-up-for-launch/,"Technicians with NASA and Lockheed Martin fitted three spacecraft adapter jettison fairing panels onto the service module of the agency's Orion's spacecraft. The operation completed on Wednesday, March 19, 2025, inside the Neil A. Armstrong Operations and Checkout Building at NASA's Kennedy Space Center in Florida. The European-built service module is the powerhouse that will [...]","Fri, 21 Mar 2025 15:55:21 +0000",Science,Artemis 2,"['Artemis 2', 'Christina H. Koch', 'G. Reid Wiseman', 'Kennedy Space Center', 'Orion Multi-Purpose Crew Vehicle', 'Space Launch System (SLS)', 'Victor J. Glover']",https://www.nasa.gov/rss/dyn/breaking_news.rss
NASA to Cover Northrop Grumman's 21st Cargo Space Station Departure,https://www.nasa.gov/news-release/nasa-to-cover-northrop-grummans-21st-cargo-space-station-departure/,"After delivering more than 8,200 pounds of supplies, scientific investigations, commercial products, hardware, and other cargo to the orbiting laboratory for NASA and its international partners, Northrop Grumman's uncrewed Cygnus spacecraft is scheduled to depart the International Space Station on Friday, March 28. Watch NASA's live coverage of undocking and departure at 6:30 a.m. EDT [...]","Fri, 21 Mar 2025 15:19:03 +0000",Science,International Space Station (ISS),"['International Space Station (ISS)', 'Humans in Space', 'Johnson Space Center', 'NASA Headquarters']",https://www.nasa.gov/rss/dyn/breaking_news.rss
3D Printing: Saving Weight and Space at Launch,https://www.nasa.gov/missions/station/iss-research/3d-printing-saving-weight-and-space-at-launch/,"Science in Space March 2025 Additive manufacturing, also known as 3D printing, is regularly used on the ground to quickly produce a variety of devices. Adapting this process for space could let crew members create tools and parts for maintenance and repair of equipment on the spot, rather than trying to bring along every item [...]","Fri, 21 Mar 2025 14:00:00 +0000",Science,ISS Research,"['ISS Research', 'Benefits Back on Earth', 'International Space Station (ISS)']",https://www.nasa.gov/rss/dyn/breaking_news.rss
"Measles arrives in Kansas, spreads quickly in undervaccinated counties",https://arstechnica.com/health/2025/03/measles-takes-off-in-kansas-amid-low-vaccination-at-least-10-cases-reported/,"Since a single case last week, at least 9 more have been reported with more pending.","Fri, 21 Mar 2025 21:53:29 +0000",Science,Health,"['Health', 'Science', 'Infectious disease', 'kansas', 'measles', 'MMR', 'outbreak', 'texas', 'unvaccinated', 'vaccinated', 'virus']",https://arstechnica.com/science/feed/
"""Infantile amnesia"" occurs despite babies showing memory activity",https://arstechnica.com/science/2025/03/infants-can-form-memories-starting-at-1-but-they-dont-last-until-later/,It looks like humans actively suppress our earliest memories.,"Fri, 21 Mar 2025 19:41:25 +0000",Science,Science,"['Science', 'Biology', 'infantile amnesia', 'memory', 'neurobiology']",https://arstechnica.com/science/feed/
We probably inherited our joints from... a fish,https://arstechnica.com/science/2025/03/we-probably-inherited-our-joints-from-a-fish/,"Cartilaginous fish form the same style of joint that we do, while jawless fish don't.","Fri, 21 Mar 2025 14:31:06 +0000",Science,Science,"['Science', 'Biology', 'developmental biology', 'evolution', 'joints', 'paleontology', 'synovial joints']",https://arstechnica.com/science/feed/
How the language of job postings can attract rule-bending narcissists,https://arstechnica.com/science/2025/03/how-the-language-of-job-postings-can-attract-rule-bending-narcissists/,Looking to hire someone? Check your wording very carefully.,"Fri, 21 Mar 2025 13:49:26 +0000",Science,Science,"['Science', 'hiring', 'narcississm', 'psychology', 'Social science', 'syndication']",https://arstechnica.com/science/feed/
